avg_word_len,lex_diversity,label
4.387096774193548,0.7096774193548387,1
3.290322580645161,0.6451612903225806,1
5.923076923076923,0.9615384615384616,0
3.9375,0.7083333333333334,0
4.462962962962963,0.7037037037037037,1
5.837209302325581,0.7674418604651163,0
4.714285714285714,0.8285714285714286,1
5.05,0.775,0
4.911764705882353,0.9117647058823528,1
5.352941176470588,0.7352941176470589,0
4.235294117647059,0.7647058823529411,1
4.509090909090909,0.6545454545454545,0
4.434782608695652,0.6521739130434783,0
3.733333333333333,0.8333333333333334,1
4.173913043478261,0.782608695652174,0
4.023255813953488,0.6511627906976745,0
5.170212765957447,0.723404255319149,1
3.775,0.775,0
3.954545454545455,0.7045454545454546,1
4.743589743589744,0.8461538461538461,0
5.04,0.74,1
4.095238095238095,0.6428571428571429,1
4.825,0.775,1
4.931034482758621,0.8275862068965517,1
5.567567567567568,0.7567567567567568,0
4.375,0.640625,0
4.538461538461538,0.8461538461538461,0
4.0,0.6410256410256411,0
4.66,0.74,0
4.733333333333333,0.7555555555555555,1
4.225806451612903,0.7096774193548387,1
4.346938775510204,0.5918367346938775,1
4.428571428571429,0.8285714285714286,0
3.566666666666667,0.6666666666666666,1
3.5517241379310347,0.6206896551724138,1
3.5625,0.65625,1
4.975609756097561,0.8536585365853658,0
3.829268292682927,0.6097560975609756,0
4.615384615384615,0.7307692307692307,1
4.476190476190476,0.9047619047619048,0
4.129032258064516,0.7419354838709677,0
4.433333333333334,0.7333333333333333,1
3.811594202898551,0.5652173913043478,1
4.829268292682927,0.5853658536585366,1
4.666666666666667,0.7435897435897436,1
3.783783783783784,0.7297297297297297,0
5.630434782608695,0.8043478260869565,1
5.310344827586207,0.8620689655172413,1
3.862745098039216,0.6078431372549019,0
4.103896103896104,0.6363636363636364,1
4.367647058823529,0.7058823529411765,1
4.7105263157894735,0.7631578947368421,1
4.08,0.66,1
4.553571428571429,0.6428571428571429,1
4.739130434782608,0.7391304347826086,1
5.354838709677419,0.8709677419354839,0
4.130434782608695,0.717391304347826,1
5.102564102564102,0.717948717948718,0
4.689655172413793,0.8620689655172413,0
5.366666666666666,0.8,0
3.852941176470588,0.6029411764705882,1
5.512195121951219,0.8536585365853658,1
4.7023809523809526,0.7619047619047619,0
4.8,0.88,0
4.0,0.6764705882352942,0
